<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,18/09/18,10:01,108440.0000000,109200.0000000,108440.0000000,109130.0000000,1829
SPFB.RTS-12.18,1,18/09/18,10:02,109120.0000000,109190.0000000,109020.0000000,109060.0000000,471
SPFB.RTS-12.18,1,18/09/18,10:03,109070.0000000,109090.0000000,108970.0000000,108990.0000000,192
SPFB.RTS-12.18,1,18/09/18,10:04,109000.0000000,109030.0000000,108910.0000000,108950.0000000,165
SPFB.RTS-12.18,1,18/09/18,10:05,108950.0000000,109010.0000000,108900.0000000,108950.0000000,696
SPFB.RTS-12.18,1,18/09/18,10:06,108910.0000000,108950.0000000,108840.0000000,108900.0000000,524
SPFB.RTS-12.18,1,18/09/18,10:07,108890.0000000,108940.0000000,108850.0000000,108850.0000000,233
SPFB.RTS-12.18,1,18/09/18,10:08,108870.0000000,108890.0000000,108830.0000000,108830.0000000,144
SPFB.RTS-12.18,1,18/09/18,10:09,108850.0000000,108890.0000000,108820.0000000,108890.0000000,160
SPFB.RTS-12.18,1,18/09/18,10:10,108880.0000000,108920.0000000,108860.0000000,108900.0000000,56
SPFB.RTS-12.18,1,18/09/18,10:11,108910.0000000,108910.0000000,108860.0000000,108860.0000000,98
SPFB.RTS-12.18,1,18/09/18,10:12,108830.0000000,108830.0000000,108750.0000000,108750.0000000,121
SPFB.RTS-12.18,1,18/09/18,10:13,108750.0000000,108980.0000000,108750.0000000,108960.0000000,215
SPFB.RTS-12.18,1,18/09/18,10:14,108960.0000000,108990.0000000,108930.0000000,108990.0000000,389
SPFB.RTS-12.18,1,18/09/18,10:15,108950.0000000,108990.0000000,108920.0000000,108960.0000000,404
SPFB.RTS-12.18,1,18/09/18,10:16,108970.0000000,108990.0000000,108930.0000000,108970.0000000,158
SPFB.RTS-12.18,1,18/09/18,10:17,108970.0000000,108970.0000000,108900.0000000,108900.0000000,95
SPFB.RTS-12.18,1,18/09/18,10:18,108910.0000000,108940.0000000,108870.0000000,108870.0000000,60
SPFB.RTS-12.18,1,18/09/18,10:19,108870.0000000,108920.0000000,108870.0000000,108920.0000000,49
SPFB.RTS-12.18,1,18/09/18,10:20,108920.0000000,108930.0000000,108900.0000000,108900.0000000,73
SPFB.RTS-12.18,1,18/09/18,10:21,108890.0000000,108920.0000000,108880.0000000,108900.0000000,42
SPFB.RTS-12.18,1,18/09/18,10:22,108880.0000000,108940.0000000,108850.0000000,108940.0000000,72
SPFB.RTS-12.18,1,18/09/18,10:23,108920.0000000,108950.0000000,108920.0000000,108950.0000000,59
SPFB.RTS-12.18,1,18/09/18,10:24,108950.0000000,109010.0000000,108950.0000000,109000.0000000,174
SPFB.RTS-12.18,1,18/09/18,10:25,109010.0000000,109080.0000000,109010.0000000,109060.0000000,173
SPFB.RTS-12.18,1,18/09/18,10:26,109080.0000000,109280.0000000,109070.0000000,109240.0000000,589
SPFB.RTS-12.18,1,18/09/18,10:27,109250.0000000,109340.0000000,109200.0000000,109200.0000000,217
SPFB.RTS-12.18,1,18/09/18,10:28,109210.0000000,109290.0000000,109190.0000000,109280.0000000,474
SPFB.RTS-12.18,1,18/09/18,10:29,109270.0000000,109300.0000000,109250.0000000,109270.0000000,263
SPFB.RTS-12.18,1,18/09/18,10:30,109310.0000000,109310.0000000,109210.0000000,109210.0000000,199
SPFB.RTS-12.18,1,18/09/18,10:31,109220.0000000,109440.0000000,109220.0000000,109320.0000000,649
SPFB.RTS-12.18,1,18/09/18,10:32,109310.0000000,109440.0000000,109290.0000000,109370.0000000,579
SPFB.RTS-12.18,1,18/09/18,10:33,109380.0000000,109450.0000000,109380.0000000,109420.0000000,320
SPFB.RTS-12.18,1,18/09/18,10:34,109410.0000000,109450.0000000,109360.0000000,109440.0000000,515
SPFB.RTS-12.18,1,18/09/18,10:35,109460.0000000,109590.0000000,109440.0000000,109540.0000000,405
SPFB.RTS-12.18,1,18/09/18,10:36,109550.0000000,109570.0000000,109390.0000000,109420.0000000,353
SPFB.RTS-12.18,1,18/09/18,10:37,109430.0000000,109450.0000000,109330.0000000,109380.0000000,884
SPFB.RTS-12.18,1,18/09/18,10:38,109370.0000000,109410.0000000,109360.0000000,109410.0000000,95
SPFB.RTS-12.18,1,18/09/18,10:39,109400.0000000,109420.0000000,109360.0000000,109380.0000000,90
SPFB.RTS-12.18,1,18/09/18,10:40,109380.0000000,109380.0000000,109290.0000000,109290.0000000,86
SPFB.RTS-12.18,1,18/09/18,10:41,109290.0000000,109310.0000000,109280.0000000,109280.0000000,119
SPFB.RTS-12.18,1,18/09/18,10:42,109270.0000000,109340.0000000,109260.0000000,109300.0000000,109
SPFB.RTS-12.18,1,18/09/18,10:43,109300.0000000,109360.0000000,109270.0000000,109270.0000000,74
SPFB.RTS-12.18,1,18/09/18,10:44,109260.0000000,109270.0000000,109240.0000000,109240.0000000,125
SPFB.RTS-12.18,1,18/09/18,10:45,109250.0000000,109340.0000000,109250.0000000,109320.0000000,63
SPFB.RTS-12.18,1,18/09/18,10:46,109320.0000000,109350.0000000,109290.0000000,109290.0000000,52
SPFB.RTS-12.18,1,18/09/18,10:47,109310.0000000,109320.0000000,109260.0000000,109280.0000000,85
SPFB.RTS-12.18,1,18/09/18,10:48,109270.0000000,109310.0000000,109270.0000000,109290.0000000,33
SPFB.RTS-12.18,1,18/09/18,10:49,109300.0000000,109300.0000000,109250.0000000,109270.0000000,195
SPFB.RTS-12.18,1,18/09/18,10:50,109290.0000000,109310.0000000,109260.0000000,109270.0000000,196
SPFB.RTS-12.18,1,18/09/18,10:51,109290.0000000,109290.0000000,109270.0000000,109280.0000000,36
SPFB.RTS-12.18,1,18/09/18,10:52,109280.0000000,109550.0000000,109280.0000000,109430.0000000,546
SPFB.RTS-12.18,1,18/09/18,10:53,109440.0000000,109480.0000000,109210.0000000,109220.0000000,224
SPFB.RTS-12.18,1,18/09/18,10:54,109240.0000000,109250.0000000,109030.0000000,109030.0000000,1433
SPFB.RTS-12.18,1,18/09/18,10:55,109040.0000000,109070.0000000,108920.0000000,109020.0000000,1025
