18.09 open;18.09 max;18.09 min;18.09 close;18.10 open;18.10 max;18.10 min;18.10 close;20.11 open;20.11 max;20.11 min;20.11 close;18.12 open;18.12 max;18.12 min;18.12 close
108440;109200;108440;109130;115740;115740;115110;115210;113560;113560;113010;113190;110080;110250;109570;109820
109120;109190;109020;109060;115220;115230;115050;115080;113200;113240;113110;113140;109820;109980;109820;109880
109070;109090;108970;108990;115080;115150;115030;115070;113140;113200;113110;113120;109880;109920;109820;109840
109000;109030;108910;108950;115070;115110;115020;115080;113130;113140;113080;113080;109850;109860;109720;109820
108950;109010;108900;108950;115080;115180;115050;115110;113070;113170;113050;113130;109810;110020;109800;110020
108910;108950;108840;108900;115100;115180;115060;115070;113120;113130;112930;112950;110030;110030;109830;109900
108890;108940;108850;108850;115090;115130;115060;115120;112950;113040;112910;112990;109900;109910;109840;109860
108870;108890;108830;108830;115120;115130;115060;115110;112990;113010;112960;113010;109840;109890;109730;109760
108850;108890;108820;108890;115100;115190;115080;115120;113000;113080;112960;112960;109760;109920;109750;109830
108880;108920;108860;108900;115120;115190;115110;115190;112960;112990;112920;112970;109830;109900;109810;109880
108910;108910;108860;108860;115170;115190;114930;114950;112950;113000;112910;112950;109890;109900;109820;109820
108830;108830;108750;108750;114960;115000;114880;114990;112940;113000;112890;112990;109830;109970;109780;109940
108750;108980;108750;108960;114990;115000;114900;114940;113000;113040;112930;113040;109920;110060;109890;109910
108960;108990;108930;108990;114940;114950;114860;114950;113040;113050;112980;113000;109910;109950;109820;109840
108950;108990;108920;108960;114950;115020;114900;115000;113010;113020;112910;112940;109840;109840;109690;109710
108970;108990;108930;108970;114990;115050;114950;115050;112940;112970;112870;112930;109700;109790;109660;109740
108970;108970;108900;108900;115050;115080;115000;115060;112940;113020;112920;112990;109730;109750;109650;109670
108910;108940;108870;108870;115050;115050;114990;115020;113000;113050;113000;113000;109660;109740;109620;109720
108870;108920;108870;108920;115020;115080;114990;115050;113000;113050;113000;113050;109720;109800;109680;109680
108920;108930;108900;108900;115050;115080;115000;115010;113050;113050;113010;113010;109670;109720;109660;109710
108890;108920;108880;108900;115000;115080;115000;115050;113010;113080;113010;113030;109710;109730;109670;109690
108880;108940;108850;108940;115050;115110;115050;115090;113040;113040;112930;112950;109700;109730;109630;109710
108920;108950;108920;108950;115100;115180;115090;115140;112970;112990;112950;112980;109720;109780;109690;109780
108950;109010;108950;109000;115140;115160;115110;115110;112980;113010;112950;112980;109780;109780;109700;109700
109010;109080;109010;109060;115130;115150;115090;115110;112980;113010;112970;112970;109710;109730;109700;109700
109080;109280;109070;109240;115120;115180;115110;115170;112960;112970;112900;112960;109700;109720;109580;109610
109250;109340;109200;109200;115170;115200;115110;115120;112960;112980;112930;112940;109600;109640;109550;109640
109210;109290;109190;109280;115110;115200;115110;115190;112950;112980;112950;112950;109630;109690;109610;109690
109270;109300;109250;109270;115190;115290;115180;115220;112960;113010;112960;113010;109690;109700;109530;109530
109310;109310;109210;109210;115210;115240;115190;115210;113000;113020;112950;112950;109530;109580;109460;109490
109220;109440;109220;109320;115210;115260;115200;115260;112960;113010;112950;113010;109480;109530;109480;109490
109310;109440;109290;109370;115260;115280;115220;115230;113010;113060;113010;113030;109490;109570;109460;109560
109380;109450;109380;109420;115230;115240;115180;115200;113030;113170;113010;113120;109560;109560;109440;109500
109410;109450;109360;109440;115210;115280;115200;115270;113120;113170;113100;113140;109500;109550;109480;109540
109460;109590;109440;109540;115260;115310;115260;115300;113130;113150;113090;113100;109530;109570;109500;109550
109550;109570;109390;109420;115300;115310;115250;115270;113090;113120;113090;113090;109540;109570;109510;109540
109430;109450;109330;109380;115270;115280;115150;115180;113090;113090;113030;113040;109530;109590;109520;109580
109370;109410;109360;109410;115190;115210;115150;115190;113040;113070;113020;113070;109590;109600;109560;109600
109400;109420;109360;109380;115200;115260;115200;115210;113070;113120;113050;113100;109600;109640;109590;109640
